model_id,sample_index,stratum_id,sample_within_stratum,facade_configuration,reference_orientation,active_facades,window_type,sill_height_m,window_width_m,window_height_m,overhang_present,overhang_depth_m,overhang_length_m
model_001,1,adjacent_east_south__conventional__no_overhang,1,two_adjacent,east,east;south,conventional,0.9,1.15,0.9,False,0.0,1.15
model_002,2,adjacent_north_east__floor_to_ceiling__no_overhang,1,two_adjacent,north,north;east,floor_to_ceiling,0.0,0.98,3.0,False,0.0,0.98
model_003,3,three_east_south_west__conventional__no_overhang,1,three_facades,south,east;south;west,conventional,0.9,2.32,1.01,False,0.0,2.32
model_004,4,single_north__floor_to_ceiling__no_overhang,1,single,north,north,floor_to_ceiling,0.0,1.6,3.0,False,0.0,1.6
model_005,5,single_north__conventional__overhang,1,single,north,north,conventional,0.9,2.35,1.77,True,0.72,2.35
model_006,6,three_north_south_west__floor_to_ceiling__overhang,1,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.94,3.0,True,1.44,1.94
model_007,7,three_north_east_west__conventional__overhang,1,three_facades,north,north;east;west,conventional,0.9,1.37,1.37,True,1.01,1.37
model_008,8,opposite_north_south__conventional__no_overhang,1,two_opposite,north,north;south,conventional,0.9,2.17,1.96,False,0.0,2.17
model_009,9,adjacent_west_north__floor_to_ceiling__no_overhang,1,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.17,3.0,False,0.0,1.17
model_010,10,single_south__floor_to_ceiling__overhang,1,single,south,south,floor_to_ceiling,0.0,2.26,3.0,True,0.46,2.26
model_011,11,three_north_east_south__conventional__no_overhang,1,three_facades,east,north;east;south,conventional,0.9,2.01,1.94,False,0.0,2.01
model_012,12,opposite_east_west__conventional__overhang,1,two_opposite,east,east;west,conventional,0.9,0.78,1.73,True,0.78,0.78
model_013,13,opposite_east_west__floor_to_ceiling__no_overhang,1,two_opposite,east,east;west,floor_to_ceiling,0.0,1.2,3.0,False,0.0,1.2
model_014,14,three_north_east_south__floor_to_ceiling__no_overhang,1,three_facades,east,north;east;south,floor_to_ceiling,0.0,0.66,3.0,False,0.0,0.66
